title,artist,genre,length
As It Was,Harry Styles,Deep House,167303
Heat Waves,"Glass Animals",Techno,238805
Bad Habit,"Steve Lacy",Dance,232066
"Me Porto Bonito","Bad Bunny, Chencho Corleone",Pop,178567
"First Class","Jack Harlow",Rock,173947
"Tití Me Preguntó","Bad Bunny",Bad Bunny,"243716"
"STAY (with Justin Bieber)","The Kid LAROI, Justin Bieber",Minimal,141805
"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush",Remixes,300840
"Sweater Weather","The Neighbourhood","The Neighbourhood","240400"
"Dark Red","Steve Lacy","Steve Lacy","173104"
"We Don't Talk About Bruno","Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Deep House,"216120"
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow",Dance,"212352"
"Glimpse of Us","Joji",Joji,"233456"
"No Role Modelz","J. Cole",Deep House,"292799"
"Super Gremlin","Kodak Black","Kodak Black","200547"
"Knife Talk (with 21 Savage ft. Project Pat)","Drake, 21 Savage, Project Pat","Drake","242965"
"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems","Future","189893"
"About Damn Time","Lizzo","Lizzo","191937"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, JID, Arcane, League of Legends","Imagine Dragons","173381"
"505","Arctic Monkeys","Arctic Monkeys","253586"
"I Love You So","The Walters","The Walters","160239"
"good 4 u","Olivia Rodrigo","Olivia Rodrigo","178146"
"Woman","Doja Cat","Doja Cat","172626"
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage","Drake","218364"
"Ghost","Justin Bieber",Dance,"153190"
"Die For You","The Weeknd",The Weeknd,"260253"
"Late Night Talking","Harry Styles","Harry Styles","177954"
"Cold Heart - PNAU Remix","Elton John, Dua Lipa, PNAU","Elton John","202735"
"family ties (with Kendrick Lamar)","Baby Keem, Kendrick Lamar","Baby Keem","252262"
"Wasted On You","Morgan Wallen","Morgan Wallen","178520"
"Need to Know","Doja Cat","Doja Cat","210560"
"I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat","Post Malone","192840"
"Moscow Mule","Bad Bunny","Bad Bunny","245939"
"pushin P (feat. Young Thug)","Gunna, Future, Young Thug","Gunna","136266"
"Efecto","Bad Bunny","Bad Bunny","213061"
"You Proof","Morgan Wallen","Morgan Wallen","157477"
"Kiss Me More (feat. SZA)","Doja Cat, SZA","Doja Cat","208666"
"Something in the Orange","Zach Bryan","Zach Bryan","228013"
"Shivers","Ed Sheeran","Ed Sheeran","207853"
"THATS WHAT I WANT","Lil Nas X","Lil Nas X","143901"
"Sunroof","Nicky Youre, dazy","Nicky Youre, dazy","163025"
"See You Again (feat. Kali Uchis)","Tyler\, The Creator, Kali Uchis",Pop,180386
"traitor","Olivia Rodrigo",Rock,229226
"Lost","Frank Ocean","Frank Ocean","234093"
"Wants and Needs (feat. Lil Baby)","Drake, Lil Baby","Drake","192956"
"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat","Doja Cat","182906"
"Ojitos Lindos","Bad Bunny, Bomba Estéreo","Bad Bunny","258298"
"Broadway Girls (feat. Morgan Wallen)","Lil Durk, Morgan Wallen","Lil Durk","185600"
"I Ain't Worried","OneRepublic","OneRepublic","148485"
"Heartless","Kanye West","Kanye West","211000"
,
